ABBV
CAH
NUE
PPG
SHW
ALB
CAT
GWW
ECL
SPGI
AOS
EMR
CINF
TGT
PNR
NDSN
APD
ESS
WMT
EXPD
GD
LOW
DOV
ES
BEN
ADP
TROW
ROP
ITW
FDS
CTAS
ABT
GPC
FAST
FRT
ATO
ED
LIN
MDT
CVX
SWK
CHRW
CLX
CB
JNJ
ADM
BF-B
XOM
O
MCD
NEE
MKC
IBM
KMB
KO
SJM
CL
PG
WST
SYY
AFL
HRL
AMCR
PEP
BRO
CHD
ERIE
NVDA
MSFT
META
GOOG
AAPL
ASML
AMZN
ANET
MELI
NFLX
V
FICO
NVO
FTNT
APP
LRCX
HWM
CRM
INTU
RMD
ADBE
ACN
SNPS
IDXX
BKNG
PAYC
NOW
ROL
CME
NICE
SPOT
KVUE
LYB
ARCC
WASH
EPD
VZ
ENB
WPC
NNN
EBF
BBY
PBA
CNQ
PRU
MAIN
D
REXR
MGA
EMN
PSA
KMI
T
EVRG
